UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,Post-Pre_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,Post-Pre_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,Post-Pre_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,Post-Pre_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,Post-Pre_MR5,I_MR5,ENTRY_ID,DATE_TIME
6892533J40,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,7,5,5,5,3,4,3,4,3,4,3,1,3,3,3,3,3,2,3,1,3,4,3,2,3,2,3,3,3,4,3,3,3,4,3,2,3.00,2.88,-0.13,N,3,1,3,1,3,3,3,2,3,2,3.00,1.80,-1.20,N,3,3,3,3,3,4,3,1,3,3,3,4,3,5,3,4,3,4,3,1,3.00,3.40,0.40,Y,3,5,3,4,3,5,3,5,3.00,4.75,1.75,Y,3,2,3,2,3,3,3,2,3.00,2.50,-0.50,N,557,29-08-21 7:18
8175434G26,Nirmal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.00,3.00,0.00,N,3,3,3,3,3,3,3,3,3,3,3.00,3.00,0.00,N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.00,3.00,0.00,N,3,3,3,3,3,3,3,3,3.00,3.00,0.00,N,3,3,3,3,3,3,3,3,3.00,3.50,0.50,Y,684,29-08-21 12:43
8047538Z59,Nirmal,18 -24,Male,Yes,"Family Member
Friend",No,Polytechnic,C2C Social Media Invasion,5,5,5,5,5,3,5,3,5,3,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,5,4,5,4,5,5,5,5,5,5,4.25,4.00,-0.25,N,4,1,3,3,3,2,3,3,3,2,3.20,2.20,-1.00,N,3,3,2,2,3,3,3,3,4,1,3,1,3,2,3,2,3,1,3,1,3.00,2.10,-0.90,N,3,5,3,3,3,3,3,3,3.00,3.50,0.50,Y,3,3,3,3,4,3,5,5,3.75,2.75,-1.00,N,679,29-08-21 11:45
4194S741E58,Nirmal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.81,4.69,-0.13,N,5,5,5,5,3,3,3,3,5,4,4.20,4.00,-0.20,N,5,4,2,3,2,2,2,2,5,5,5,5,5,5,5,5,5,5,4,5,4.00,4.00,0.00,N,3,5,5,5,5,5,5,5,4.50,5.00,0.50,Y,2,2,2,3,2,2,2,2,2.00,2.50,0.50,Y,677,29-08-21 11:19
2613273J64,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,3,3,3,4,4,5,5,5,5,4,3,3,2,4,3,5,5,3,5,3,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4.31,4.38,0.06,Y,4,4,4,3,3,3,3,2,4,4,3.60,3.20,-0.40,N,3,3,5,5,3,4,3,5,5,4,5,4,5,5,5,5,3,3,4,4,4.10,4.20,0.10,Y,3,4,3,3,4,4,4,5,3.50,4.00,0.50,Y,3,3,4,4,2,2,4,3,3.25,3.25,0.00,N,671,29-08-21 11:00
8661386H95,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,3,5,3,5,3,5,3,4,3,3,3,4,3,5,3,2,3,3,3,3,3,4,3,5,3,5,3,5,3,5,3,5,3.00,4.25,1.25,Y,3,3,3,3,3,4,3,2,3,4,3.00,3.20,0.20,Y,3,5,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3.00,4.00,1.00,Y,3,4,3,4,3,4,3,4,3.00,4.00,1.00,Y,3,2,3,3,3,3,3,4,3.00,2.75,-0.25,N,621,29-08-21 9:08
7067386H80,Nirmal,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,6,5,5,5,3,5,3,5,3,5,3,5,3,4,3,5,3,5,3,2,3,3,3,3,3,3,3,5,3,5,3,5,3,5,3,5,3.00,4.38,1.38,Y,3,3,3,3,3,3,3,2,3,4,3.00,3.00,0.00,N,3,5,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3.00,4.00,1.00,Y,3,4,3,5,3,4,3,5,3.00,4.50,1.50,Y,3,2,3,3,3,4,3,3,3.00,3.50,0.50,Y,608,29-08-21 8:58
2116013C21,Nirmal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,3,3,3,4,2,4,2,4,5,5,5,5,5,2,5,5,5,4,4.19,4.25,0.06,Y,4,4,2,1,4,3,3,1,4,5,3.40,2.80,-0.60,N,5,5,4,4,4,5,5,5,1,4,4,4,4,4,4,4,4,4,4,4,3.90,4.30,0.40,Y,3,4,4,4,4,4,4,5,3.75,4.25,0.50,Y,2,3,3,3,4,4,5,5,3.50,3.25,-0.25,N,604,29-08-21 8:56
2558244E37,Nirmal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,3,3,3,4,3,4,3,4,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3.00,3.38,0.38,Y,3,4,3,3,3,4,3,2,3,4,3.00,3.40,0.40,Y,3,4,3,4,3,3,3,3,3,4,3,5,3,5,3,5,3,5,3,4,3.00,4.10,1.10,Y,3,4,3,3,3,4,3,4,3.00,3.75,0.75,Y,3,3,3,3,3,3,3,3,3.00,3.00,0.00,N,589,29-08-21 8:27
3254335E23,Nirmal,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,3,5,3,5,3,5,3,5,3,5,3,4,3,5,3,3,3,3,3,3,3,4,3,5,3,5,3,5,3,5,3,3,3.00,4.38,1.38,Y,3,3,3,3,3,1,3,2,3,4,3.00,2.60,-0.40,N,3,3,3,4,3,4,3,5,3,4,3,4,3,5,3,4,3,3,3,3,3.00,3.90,0.90,Y,3,5,3,3,3,5,3,5,3.00,4.50,1.50,Y,3,5,3,3,3,2,3,3,3.00,3.25,0.25,Y,588,29-08-21 8:25
